Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost,Osnova/Dodatek,Ocena
Gloomhaven,1,4,60,120,2017,12,,'7,98'
Pandemic Legacy: Season 1,2,4,60,,2015,13,,'9,81'
Through the Ages: A New Story of Civilization,2,4,120,,2015,14,,'7,55'
Terraforming Mars,1,5,120,,2016,12,,'9,77'
Twilight Struggle,2,2,120,180,2005,13,,'7,74'
Star Wars: Rebellion,2,4,180,240,2016,14,,'8,72'
Gaia Project,1,4,60,150,2017,12,,'7,74'
Scythe,1,5,90,115,2016,14,,'7,28'
Twilight Imperium (Fourth Edition),3,6,240,480,2017,14,,'9,05'
Great Western Trail,2,4,75,150,2016,12,,'9,04'
Terra Mystica,2,5,60,150,2012,12,,'7,95'
War of the Ring (Second Edition),2,4,150,180,2012,13,,'7,34'
The Castles of Burgundy,2,4,30,90,2011,12,,'7,21'
Brass: Birmingham,2,4,60,120,2018,14,,'7,73'
Spirit Island,1,4,90,120,2017,13,,'8,92'
7 Wonders Duel,2,2,30,,2015,10,,'7,48'
The 7th Continent,1,4,5,1000,2017,14,,'8,9'
Concordia,2,5,100,,2013,13,,'8,77'
Viticulture Essential Edition,1,6,45,90,2015,13,,'8,65'
Puerto Rico,3,5,90,150,2002,12,,'9,15'
Arkham Horror: The Card Game,1,2,60,120,2016,14,,'7,61'
Brass: Lancashire,2,4,60,120,2007,14,,'8,92'
Caverna: The Cave Farmers,1,7,30,210,2013,12,,'7,5'
Mage Knight Board Game,1,4,60,240,2011,14,,'9,34'
Agricola,1,5,30,150,2007,12,,'8,79'
Orléans,2,4,90,,2014,12,,'9,96'
Mansions of Madness: Second Edition,1,5,120,180,2016,14,,'9,46'
A Feast for Odin,1,4,30,120,2016,12,,'9,6'
Food Chain Magnate,2,5,120,240,2015,14,,'7,8'
Blood Rage,2,4,60,90,2015,14,,'7,88'
Pandemic Legacy: Season 2,2,4,60,,2017,14,,'9,37'
Mechs vs. Minions,2,4,60,90,2016,14,,'8,51'
Kingdom Death: Monster,1,4,60,180,2015,17,,'8,2'
Through the Ages: A Story of Civilization,2,4,240,,2006,12,,'7,72'
Power Grid,2,6,120,,2004,12,,'9,12'
Star Wars: Imperial Assault,2,5,60,120,2014,14,,'9,04'
Tzolk'in: The Mayan Calendar,2,4,90,,2012,13,,'8,42'
Azul,2,4,30,45,2017,8,,'9,56'
Eclipse,2,6,60,180,2011,14,,'9,04'
Le Havre,1,5,30,150,2008,12,,'8,07'
Robinson Crusoe: Adventures on the Cursed Island,1,4,60,120,2012,14,,'9,91'
The Voyages of Marco Polo,2,4,40,100,2015,12,,'8,23'
Clans of Caledonia,1,4,30,120,2017,12,,'7,58'
Android: Netrunner,2,2,45,,2012,14,,'8,69'
7 Wonders,2,7,30,,2010,10,,'8,14'
Keyflower,2,6,90,120,2012,12,,'7,98'
Anachrony,1,4,30,120,2017,15,,'9,7'
Race for the Galaxy,2,4,30,60,2007,12,,'7,87'
Wingspan,1,5,40,70,2019,10,,'7,72'
Caylus,2,5,60,150,2005,12,,'8,93'
Dominant Species,2,6,120,240,2010,14,,'9,02'
Root,2,4,60,90,2018,10,,'8,99'
Fields of Arle,1,2,60,120,2014,13,,'9,31'
Lords of Waterdeep,2,5,60,120,2012,12,,'9,56'
Rising Sun,3,5,90,120,2018,14,,'9,87'
Twilight Imperium (Third Edition),3,6,180,240,2005,14,,'9,27'
Five Tribes,2,4,40,80,2014,13,,'9,94'
Eldritch Horror,1,8,120,240,2013,14,,'7,85'
El Grande,2,5,60,120,1995,12,,'9,67'
Codenames,2,8,15,,2015,14,,'8,77'
Clank!: A Deck-Building Adventure,2,4,30,60,2016,12,,'7,65'
Dominion: Intrigue,2,4,30,,2009,13,,'8,09'
The Gallerist,1,4,60,150,2015,13,,'8,55'
Patchwork,2,2,15,30,2014,8,,'9,62'
Mombasa,2,4,75,150,2015,12,,'9,41'
Battlestar Galactica: The Board Game,3,6,120,300,2008,10,,'9,18'
Roll for the Galaxy,2,5,45,,2014,13,,'9,15'
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,60,120,1981,10,,'9,8'
Troyes,2,4,90,,2010,12,,'8,06'
T.I.M.E Stories,2,4,90,,2015,12,,'7,31'
Russian Railroads,2,4,90,120,2013,12,,'9,95'
Tigris & Euphrates,2,4,90,,1997,12,,'8,37'
Trajan,2,4,60,120,2011,12,,'9,97'
Star Wars: X-Wing Miniatures Game,2,2,30,45,2012,14,,'8,56'
Pandemic,2,4,45,,2008,8,,'7,67'
Dominion,2,4,30,,2008,13,,'7,7'
Dead of Winter: A Crossroads Game,2,5,60,120,2014,13,,'9,73'
Lisboa,1,4,60,120,2017,12,,'9,75'
Crokinole,2,4,30,,1876,8,,'9,31'
Kemet,2,5,90,120,2012,13,,'8,57'
Pandemic: Iberia,2,5,45,,2016,8,,'9,94'
Agricola (Revised Edition),1,4,30,120,2016,12,,'8,6'
Descent: Journeys in the Dark (Second Edition),2,5,120,,2012,14,,'9,27'
Forbidden Stars,2,4,120,180,2015,14,,'9,53'
Raiders of the North Sea,2,4,60,80,2015,12,,'8,58'
Stone Age,2,4,60,90,2008,10,,'9,58'
Alchemists,2,4,120,,2014,13,,'9,64'
Yokohama,2,4,90,,2016,14,,'8,88'
Aeon's End,1,4,60,,2016,14,,'9,07'
Star Realms,2,2,20,,2014,12,,'9,18'
War of the Ring (First Edition),2,4,120,,2004,12,,'9,81'
Legendary Encounters: An Alien Deck Building Game,1,5,30,60,2014,17,,'7,23'
Champions of Midgard,2,4,60,90,2015,10,,'8,12'
Castles of Mad King Ludwig,1,4,90,,2014,13,,'8,48'
Istanbul,2,5,40,60,2014,10,,'8,86'
A Game of Thrones: The Board Game (Second Edition),3,6,120,240,2011,14,,'8,91'
Architects of the West Kingdom,1,5,60,80,2018,12,,'9,63'
The Resistance: Avalon,5,10,30,,2012,13,,'9,5'
Santorini,2,4,20,,2016,8,,'7,77'
Teotihuacan: City of Gods,1,4,90,120,2018,12,,'8  '
Grand Austria Hotel,2,4,60,120,2015,12,,'8,69'
Ticket to Ride: Europe,2,5,30,60,2005,8,,'9,22'
Chaos in the Old World,3,4,60,120,2009,13,,'7,56'
Railways of the World,2,6,120,,2005,10,,'9,88'
Ora et Labora,1,4,60,180,2011,13,,'7,48'
Suburbia,1,4,90,,2012,8,,'8,49'
Commands & Colors: Ancients,2,2,60,,2006,12,,'9,95'
Inis,2,4,60,90,2016,14,,'7,26'
Arcadia Quest,2,4,60,,2014,13,,'9,32'
Nations,1,5,40,200,2013,14,,'7,61'
The Lord of the Rings: The Card Game,1,2,30,60,2011,13,,'8,99'
Captain Sonar,2,8,45,60,2016,14,,'8,54'
Lorenzo il Magnifico,2,4,60,120,2016,12,,'8,83'
Codenames: Duet,2,4,15,30,2017,11,,'9,58'
Dinosaur Island,1,4,90,120,2017,8,,'7,77'
Jaipur,2,2,30,,2009,12,,'8,62'
Paths of Glory,2,2,480,,1999,14,,'9,68'
Cosmic Encounter,3,5,60,120,2008,12,,'9,82'
Combat Commander: Europe,2,2,60,180,2006,12,,'9,76'
Near and Far,2,4,90,120,2017,13,,'7,5'
Hansa Teutonica,2,5,45,90,2009,12,,'7,96'
Memoir '44,2,8,30,60,2004,8,,'8,95'
Clank! In! Space!,2,4,60,,2017,13,,'9,16'
Village,2,4,60,90,2011,12,,'8,79'
Sagrada,1,4,30,45,2017,14,,'7,72'
Too Many Bones,1,4,60,120,2017,12,,'8,88'
Goa,2,4,90,,2004,12,,'8,1'
Chronicles of Crime,1,4,60,90,2018,14,,'9,27'
Age of Steam,1,6,120,,2002,13,,'8,13'
Ticket to Ride: Nordic Countries,2,3,30,60,2007,8,,'9,54'
Splendor,2,4,30,,2014,10,,'9,16'
La Granja,1,4,90,120,2014,12,,'7,44'
Tichu,4,4,60,,1991,10,,'7,24'
Steam,3,5,90,,2009,10,,'8,73'
Zombicide: Black Plague,1,6,60,180,2015,10,,'7,25'
Go,2,2,30,180,2200,8,,'8,72'
The Princes of Florence,2,5,75,100,2000,12,,'9,86'
Legendary: A Marvel Deck Building Game,1,5,45,,2012,14,,'8,27'
Vinhos Deluxe Edition,1,4,60,135,2016,14,,'7,54'
Viticulture,2,6,90,,2013,13,,'9,72'
Ticket to Ride,2,5,30,60,2004,8,,'9,48'
Targi,2,2,60,,2012,12,,'7,47'
Sekigahara: The Unification of Japan,2,2,180,,2011,14,,'9,75'
This War of Mine: The Board Game,1,6,45,120,2017,18,,'9,69'
Xia: Legends of a Drift System,3,5,60,180,2014,12,,'9,49'
Endeavor: Age of Sail,2,5,60,90,2018,13,,'7,4'
Ra,2,5,45,60,1999,12,,'7,39'
Shogun,3,5,90,120,2006,12,,'7,41'
Magic: The Gathering,2,2,20,,1993,13,,'9,94'
Galaxy Trucker,2,4,60,,2007,10,,'8,06'
Cyclades,2,5,60,90,2009,13,,'9,85'
Carcassonne,2,5,30,45,2000,8,,'7,65'
Trickerion: Legends of Illusion,2,4,60,180,2015,14,,'8,02'
Star Realms: Colony Wars,2,2,20,,2015,12,,'7,72'
Imperial Settlers,1,4,45,90,2014,10,,'7,7'
YINSH,2,2,30,60,2003,9,,'8,79'
Charterstone,1,6,45,75,2017,14,,'9,89'
Decrypto,3,8,15,45,2018,12,,'9,24'
Sushi Go Party!,2,8,20,,2016,8,,'8,89'
Lewis & Clark,1,5,120,,2013,14,,'7,3'
Imperial,2,6,120,180,2006,13,,'7,38'
Glory to Rome,2,5,60,,2005,12,,'7,44'
Power Grid Deluxe: Europe/North America,2,6,120,,2014,12,,'8,72'
Dungeon Petz,2,4,90,,2011,13,,'7,44'
Deception: Murder in Hong Kong,4,12,20,,2014,14,,'7,8'
Age of Empires III: The Age of Discovery,2,5,90,120,2007,10,,'8,12'
Isle of Skye: From Chieftain to King,2,5,30,50,2015,8,,'9,7'
1960: The Making of the President,2,2,90,120,2007,12,,'10 '
Bora Bora,2,4,60,120,2013,12,,'9,33'
1830: Railways & Robber Barons,2,7,180,360,1986,14,,'9,69'
Hero Realms,2,4,20,30,2016,12,,'9,7'
Hannibal: Rome vs. Carthage,2,2,40,200,1996,12,,'8,16'
Summoner Wars: Master Set,2,4,30,60,2011,9,,'8,37'
BattleLore (Second Edition),2,2,45,90,2013,14,,'9,82'
Runewars,2,4,180,240,2010,14,,'8,84'
Seasons,2,4,60,,2012,14,,'8,93'
Space Alert,1,5,30,,2008,12,,'9,6'
Secret Hitler,5,10,45,,2016,13,,'7,76'
Kanban: Driver's Edition,2,4,90,120,2014,12,,'7,65'
Exit: The Game – The Abandoned Cabin,1,6,60,120,2016,12,,'9,21'
Everdell,1,4,40,80,2018,13,,'8,41'
Dead of Winter: The Long Night,2,5,60,120,2016,14,,'8,44'
Dixit: Odyssey,3,12,30,,2011,8,,'9,3'
Alien Frontiers,2,4,90,,2010,13,,'8,81'
Welcome To...,1,100,25,,2018,10,,'9,24'
Mage Wars Arena,2,2,90,,2012,13,,'7,66'
Navegador,2,5,60,90,2010,12,,'7,41'
Samurai,2,4,30,60,1998,10,,'9,17'
Imperial 2030,2,6,120,180,2009,12,,'9,32'
Fury of Dracula (third/fourth edition),2,5,120,180,2015,14,,'7,34'
Mysterium,2,7,42,,2015,10,,'8,97'
Above and Below,2,4,90,,2015,13,,'9,53'
Rajas of the Ganges,2,4,45,75,2017,12,,'9,45'
Indonesia,2,5,180,240,2005,14,,'9,23'
That's Pretty Clever,1,4,30,,2018,8,,'8,18'
Antiquity,2,4,120,180,2004,14,,'9,58'
Battle Line,2,2,30,,2000,12,,'9,79'
Kingdomino,2,4,15,20,2016,8,,'9,15'
Burgle Bros.,1,4,45,90,2015,12,,'8,77'
Here I Stand,2,6,180,360,2006,12,,'9,61'
Sid Meier's Civilization: The Board Game,2,4,120,240,2010,13,,'7,22'
Coimbra,2,4,60,90,2018,14,,'8,35'
Rococo,2,5,60,120,2013,12,,'7,81'
Detective: A Modern Crime Board Game,1,5,120,180,2018,16,,'8,79'
Onitama,2,2,15,20,2014,8,,'9,38'
Dungeon Lords,2,4,90,,2009,12,,'7,83'
The Resistance,5,10,30,,2009,13,,'9,63'
